Flow (l/min), Pressure (cmH2O), Volume (ml)

-66.67,15.78,741.54
-20.05,9.06,694.01
-10.55,9.65,666.67
-17.58,7.93,637.37
-6.58,6.09,612.63
2.15,5.78,590.49
8.14,5.27,572.92
23.89,3.55,563.15
28.52,4.77,557.94
22.14,6.56,549.48
10.61,7.23,535.81
8.59,5.78,523.44
11.13,5.12,509.11
14.19,4.92,496.09
18.55,4.49,485.03
20.96,4.96,475.91
17.97,5.78,464.84
15.43,5.47,454.43
17.32,4.61,444.01
21.29,4.61,435.55
21.68,5.00,427.08
22.01,5.00,419.92
22.72,4.92,412.76
23.63,4.88,405.60
24.54,4.88,399.74
26.43,4.57,394.53
27.08,4.80,389.97
27.41,4.77,386.07
26.17,5.31,380.86
24.35,5.39,375.00
24.28,5.20,369.79
24.80,5.04,363.93
25.85,4.92,359.38
26.69,4.88,354.82
27.15,4.92,350.26
27.54,4.84,346.35
27.93,4.84,342.45
27.99,4.88,339.19
27.60,5.12,334.64
27.41,4.96,333.33
28.91,4.57,333.33
51.82,5.82,333.98
88.54,16.21,333.33
91.60,24.73,347.01
91.41,31.91,365.89
91.15,36.13,391.93
91.28,39.61,421.22
91.67,40.66,456.38
91.67,42.15,491.54
91.47,44.14,524.74
91.47,46.91,555.34
91.99,50.31,584.64
91.67,53.63,614.58
91.67,56.72,644.53
91.80,60.31,673.83
68.62,63.09,698.57
30.53,56.99,725.26
-66.67,32.38,758.46
-66.67,11.17,722.01
-3.91,9.34,679.69
-12.11,9.26,653.65
-11.85,7.50,627.60
0.07,5.59,606.77
4.04,6.21,585.29
12.96,4.41,572.27
26.17,3.71,564.45
27.80,5.35,558.59
19.27,7.11,547.53
8.66,6.95,533.85
9.31,5.82,520.83
9.83,5.51,505.86
14.32,4.88,493.49
19.21,5.04,482.42
21.03,5.12,473.31
21.48,5.16,464.84
21.68,5.16,457.03
21.94,5.04,449.87
22.85,4.92,442.71
24.09,4.92,436.20
23.11,5.39,429.04
21.81,5.16,421.88
22.59,4.88,415.36
22.98,5.04,408.20
23.50,4.80,401.69
25.46,4.57,396.48
28.13,4.26,392.58
29.82,4.30,389.97
29.36,4.65,386.72
28.45,4.84,383.46
28.71,4.61,380.86
30.99,4.06,378.91
32.68,3.95,377.60
32.62,4.22,377.60
31.05,4.92,375.65
25.20,6.17,368.49
23.50,5.70,363.28
24.28,5.20,358.07
26.30,4.96,353.52
27.99,5.08,333.33
67.19,8.75,333.33
90.56,19.57,335.29
91.47,29.22,347.01
91.54,35.12,369.14
91.60,38.28,399.09
91.41,40.31,431.64
91.73,41.33,468.10
91.67,43.28,501.30
91.60,45.78,533.20
91.60,48.79,563.15
91.60,51.95,593.10
91.67,54.96,623.70
91.86,58.01,654.30
89.91,61.13,684.24
56.05,61.29,710.29
12.30,51.68,738.93
-66.67,24.10,758.46
-66.67,9.69,708.33
-9.11,9.26,669.92
-18.68,8.79,639.32
-15.56,7.11,610.03
-7.29,5.94,583.98
2.21,5.23,562.50
11.07,4.77,545.57
16.60,5.47,531.90
12.70,6.56,516.28
10.61,5.78,503.91
12.57,5.31,490.89
15.56,5.00,478.52
19.99,4.80,468.75
21.94,5.23,459.64
20.90,5.51,451.17
20.51,5.39,443.36
