Flow (l/min), Pressure (cmH2O), Volume (ml)

73.44,11.56,333.33
73.37,11.56,333.33
73.50,11.56,333.33
73.44,11.52,333.33
73.24,11.52,333.33
73.37,11.56,333.33
73.50,11.56,333.33
73.24,11.60,333.33
73.31,11.64,333.33
73.24,11.68,333.33
73.31,11.76,333.33
73.24,11.76,333.33
73.18,11.84,333.33
73.31,11.88,333.33
73.31,11.91,333.33
73.18,11.95,333.33
73.24,11.91,333.33
73.37,11.88,333.33
73.44,11.88,333.33
73.31,11.88,333.33
73.31,11.88,333.33
73.18,11.91,333.33
73.50,11.91,333.33
73.31,11.91,333.33
73.44,11.91,333.33
73.44,11.91,333.33
73.44,11.91,333.33
73.18,11.91,333.33
73.24,11.95,333.33
73.37,11.99,333.33
73.37,11.99,333.33
73.44,11.99,333.33
73.24,11.99,333.33
73.11,11.99,333.33
73.37,11.99,333.33
73.24,11.99,333.33
73.31,12.03,333.33
73.44,12.03,333.33
73.37,11.99,333.33
73.24,11.99,333.33
73.57,12.03,333.33
73.18,12.03,333.33
73.31,12.07,333.33
73.18,12.07,333.33
73.18,12.11,333.33
73.31,12.11,333.33
73.31,12.07,333.33
73.31,12.07,333.33
73.37,12.07,333.33
73.44,12.11,333.33
73.50,12.15,333.33
73.63,12.11,333.33
73.18,12.11,333.33
73.37,12.15,333.33
73.44,12.15,333.33
73.37,12.19,333.33
73.24,12.15,333.33
73.37,12.15,333.33
73.31,12.11,333.33
73.31,12.15,333.33
73.44,12.11,333.33
73.31,12.11,333.33
73.24,12.15,333.33
73.24,12.11,333.33
73.37,12.11,333.33
73.50,12.11,333.33
73.31,12.07,333.33
73.24,12.03,333.33
73.44,12.03,333.33
73.31,12.03,333.33
73.18,11.99,333.33
73.24,11.95,333.33
73.37,11.88,333.33
73.50,11.80,333.33
73.37,11.76,333.33
73.44,11.76,333.33
73.24,11.80,333.33
73.44,11.80,333.33
73.18,11.80,333.33
73.44,11.80,333.33
73.18,11.88,333.33
73.24,11.88,333.33
73.50,11.91,333.33
73.18,11.88,333.33
73.37,11.84,333.33
73.31,11.84,333.33
73.50,11.84,333.33
73.31,11.91,333.33
73.37,11.91,333.33
73.37,11.91,333.33
73.31,11.91,333.33
73.24,11.88,333.33
73.05,11.91,333.33
73.57,11.95,333.33
73.31,11.99,333.33
73.50,11.99,333.33
73.50,11.99,333.33
73.24,12.03,333.33
73.24,11.99,333.33
73.31,11.99,333.33
73.50,12.03,333.33
73.50,12.03,333.33
73.50,11.99,333.33
73.24,11.99,333.33
73.37,11.99,333.33
73.31,12.03,333.33
73.37,12.03,333.33
73.37,11.99,333.33
73.31,11.95,333.33
73.24,11.95,333.33
73.24,11.95,333.33
73.37,11.99,333.33
73.31,11.95,333.33
73.24,11.91,333.33
73.50,11.91,333.33
73.37,11.91,333.33
73.50,11.91,333.33
73.44,11.88,333.33
73.18,11.91,333.33
73.37,11.95,333.33
73.37,11.95,333.33
73.24,11.95,333.33
73.37,11.95,333.33
73.24,11.95,333.33
73.24,11.91,333.33
73.37,11.88,333.33
73.11,11.88,333.33
73.37,11.84,333.33
73.57,11.84,333.33
73.44,11.84,333.33
73.37,11.80,333.33
73.57,11.76,333.33
73.44,11.72,333.33
73.37,11.72,333.33
73.44,11.68,333.33
73.24,11.68,333.33
73.18,11.64,333.33
73.18,11.56,333.33
73.31,11.56,333.33
73.24,11.56,333.33
73.18,11.52,333.33
73.24,11.56,333.33
73.31,11.56,333.33
73.44,11.56,333.33
73.37,11.56,333.33
73.31,11.56,333.33
73.37,11.48,333.33
73.44,11.52,333.33
73.37,11.48,333.33
73.37,11.52,333.33
73.31,11.48,333.33
73.37,11.48,333.33
73.44,11.48,333.33
73.37,11.45,333.33
73.50,11.48,333.33
73.24,11.48,333.33
73.31,11.48,333.33
73.37,11.45,333.33
73.11,11.48,333.33
73.24,11.45,333.33
73.37,11.48,333.33
73.31,11.48,333.33
73.31,11.48,333.33
73.24,11.48,333.33
73.24,11.48,333.33
73.24,11.52,333.33
72.98,11.52,333.33
73.31,11.56,333.33
73.31,11.60,333.33
73.57,11.60,333.33
73.44,11.60,333.33
73.44,11.60,333.33
73.44,11.60,333.33
73.44,11.60,333.33
73.31,11.60,333.33
73.37,11.60,333.33
73.18,11.60,333.33
73.18,11.60,333.33
73.31,11.60,333.33
73.37,11.60,333.33
73.44,11.64,333.33
73.18,11.64,333.33
73.50,11.64,333.33
73.24,11.60,333.33
73.44,11.60,333.33
73.18,11.60,333.33
73.24,11.64,333.33
73.57,11.60,333.33
73.37,11.60,333.33
73.31,11.64,333.33
73.18,11.64,333.33
73.44,11.60,333.33
73.37,11.60,333.33
73.37,11.56,333.33
73.44,11.60,333.33
73.37,11.56,333.33
73.18,11.56,333.33
73.31,11.56,333.33
73.37,11.48,333.33
73.44,11.48,333.33
73.24,11.48,333.33
