Flow (l/min), Pressure (cmH2O), Volume (ml)

63.48,4.84,333.33
63.35,4.77,333.33
63.41,4.65,333.33
63.28,4.53,333.33
63.35,4.45,333.33
63.35,4.38,333.33
63.54,4.30,333.33
63.48,4.22,333.33
63.28,4.18,333.33
63.35,4.14,333.33
63.35,4.06,333.33
63.41,4.06,333.33
63.28,4.02,333.33
63.28,3.95,333.33
63.28,3.95,333.33
63.35,3.95,333.33
63.28,4.02,333.33
63.35,4.06,333.33
63.35,3.98,333.33
63.28,3.95,333.33
63.41,3.95,333.33
63.41,3.91,333.33
63.35,3.87,333.33
63.41,3.87,333.33
63.41,3.83,333.33
63.09,3.79,333.33
63.22,3.71,333.33
63.15,3.67,333.33
63.41,3.63,333.33
63.35,3.52,333.33
63.22,3.28,333.33
63.35,3.20,333.33
63.28,3.16,333.33
63.48,3.16,333.33
63.41,3.13,333.33
63.22,3.13,333.33
63.22,3.13,333.33
63.41,3.13,333.33
63.48,3.13,333.33
63.41,3.13,333.33
63.35,3.13,333.33
63.28,3.13,333.33
63.35,3.16,333.33
63.28,3.28,333.33
63.22,3.79,333.33
63.35,4.26,333.33
63.41,4.53,333.33
63.22,4.73,333.33
63.28,4.69,333.33
63.22,4.61,333.33
63.22,4.45,333.33
63.35,4.34,333.33
63.35,4.26,333.33
63.41,4.18,333.33
63.41,4.18,333.33
63.28,4.14,333.33
63.28,4.10,333.33
63.28,4.06,333.33
63.28,4.06,333.33
63.22,4.06,333.33
63.35,4.02,333.33
63.28,4.02,333.33
63.22,3.98,333.33
63.28,3.98,333.33
63.28,3.98,333.33
63.28,3.91,333.33
63.48,3.95,333.33
63.48,3.91,333.33
63.41,3.87,333.33
63.28,3.79,333.33
63.28,3.75,333.33
63.22,3.71,333.33
63.28,3.59,333.33
63.41,3.44,333.33
63.35,3.28,333.33
63.48,3.20,333.33
63.35,3.20,333.33
63.41,3.20,333.33
63.35,3.16,333.33
63.41,3.16,333.33
63.28,3.13,333.33
63.35,3.13,333.33
63.28,3.13,333.33
63.22,3.13,333.33
63.35,3.16,333.33
63.22,3.16,333.33
63.35,3.24,333.33
63.48,3.55,333.33
63.35,4.02,333.33
63.28,4.34,333.33
63.28,4.49,333.33
63.28,4.65,333.33
63.41,4.61,333.33
63.28,4.49,333.33
63.41,4.38,333.33
63.41,4.34,333.33
63.41,4.26,333.33
63.22,4.22,333.33
63.48,4.14,333.33
63.35,4.10,333.33
63.48,4.06,333.33
63.48,4.06,333.33
63.48,4.06,333.33
63.22,4.02,333.33
63.15,4.02,333.33
63.35,3.98,333.33
63.15,3.98,333.33
63.28,3.98,333.33
63.28,3.98,333.33
63.35,3.95,333.33
63.35,3.91,333.33
63.28,3.87,333.33
63.35,3.83,333.33
63.22,3.79,333.33
63.22,3.71,333.33
63.41,3.63,333.33
63.54,3.48,333.33
63.41,3.24,333.33
63.28,3.20,333.33
63.22,3.20,333.33
63.15,3.16,333.33
63.28,3.16,333.33
63.35,3.16,333.33
63.35,3.16,333.33
63.28,3.13,333.33
63.48,3.13,333.33
63.22,3.13,333.33
63.41,3.16,333.33
63.35,3.20,333.33
63.54,3.40,333.33
63.41,3.83,333.33
63.41,4.22,333.33
63.22,4.45,333.33
63.35,4.65,333.33
63.48,4.69,333.33
63.41,4.61,333.33
63.41,4.49,333.33
63.22,4.41,333.33
63.41,4.34,333.33
63.41,4.22,333.33
63.35,4.14,333.33
63.28,4.14,333.33
63.35,4.10,333.33
63.35,4.10,333.33
63.35,4.06,333.33
63.22,4.02,333.33
63.28,4.06,333.33
63.28,4.02,333.33
63.35,4.02,333.33
